n13439570 n13489037
v1575388 v1661804
r300002 r300002
n73828 n73828
a1003050 a1003050
n13274892 n13274092
v1370126 v1369758
v345761 v345761
v7012 v4227
a2967179 a2967179
n9416570 n9416570
n2764614 n3738472
v1311896 v1310660
n2231052 n2159955
n9730824 n9634494
a799800 a799800
n10784113 n10741152
n34213 n34213
n14658546 n14625458
n5668095 n5667196
n5076069 n5075602
a1654299 a1654299
n2113892 n2083346
n7168983 n7168131
n2823428 n2876657
n6150449 n5999797
n2573704 n2554730
a3115598 a3115598
n14164866 n14051917
n4453557 n14818238
n7154330 n7151380
n2475358 n2472293
n11367436 n11367436
v640136 v637259
n10857540 n10857540
n14223638 n14061805
n4007415 n3739693
n14150210 n14145095
n1078279 n1073995
n12029929 n11567411
n5306190 n5267345
n14467975 n14464005
n8260386 n8256968
v786458 v785008
n10691937 n10195593
n10980893 n10980893
n13811740 n13811410
n7404114 n7311115
n400645 n400645
a364145 a364145
n15208036 n15154774
v1359803 v1359803
n8622201 n8622201
n14933236 n14931879
n11196046 n11196046
n3497531 n3873064
n12509821 n12509476
n9298974 n9298974
n1465994 n7992450
a2644870 a2644870
n10500603 n10499857
n13524191 n13440063
n5345783 n5246511
n8431721 n8430568
n4762492 n4723816
n7477066 n7456188
n4526964 n4526964
n11005972 n11005972
a134060 a134060
v370773 v370412
n4928008 n4927445
n8984567 n8984567
n9969375 n9807754
n2509197 n2507649
n13727931 n13583724
a1898974 a1898974
n4105893 n4105893
n1892030 n1889074
n14492953 n14488317
n2186834 n1762525
n14257014 n14061805
n4605726 n4605726
n13713300 n13600404
n10759151 n10759151
n2921884 n8664443
v1154669 v1072949
n9764201 n9764201
n9000854 n9000854
a378782 a378782
n6007046 n6000644
a2389719 a2389719
n4428502 n3277771
v477528 v477528
n8490039 n8490039
n7193958 n7193958
n5003090 n5002822
n3615133 n2914813
a2605281 a2605281
a1884353 a1884353
n5850624 n5849789
n6908801 n6904171
n5825688 n5823932
a2630221 a2630221
n5370781 n5246511
n10343449 n10099375
a2302187 a2302187
n13490343 n13464820
n13465382 n13486838
a1017600 a1017600
n8563478 n8563478
a148642 a148642
r196692 r196692
n12304286 n12303462
n14972807 n14939445
v629738 v629738
a819051 a819051
n15233047 n15233047
n2088466 n2087122
a883611 a883611
a1331540 a1331540
n12750306 n11552386
n341890 n331950
n13752911 n13752911
v904046 v822367
n6027051 n5726345
n2750070 n2735688
n3233624 n2788689
n12823717 n12823717
n12593122 n12582846
n12739966 n12739801
v2019716 v2019716
n4355115 n2756098
n12270460 n12269652
n7752664 n7752377
n6414372 n6410904
n5404598 n5397468
n14908297 n14728724
v845299 v862683
n7359920 n7359599
a1668858 a1668858
n14198200 n14061805
v870213 v870213
n8103635 n7950920
n9994319 n9622049
n9259376 n9259376
n9284308 n9284308
n9573262 n9573262
n1030280 n1029406
n14610548 n14607521
n13654571 n13603305
n13142695 n11567411
n8005260 n7999699
n10416828 n10753546
a1904845 a1904845
n6835420 n6817623
n7418716 n7416714
n3174829 n3740161
n1965404 n8108972
n664577 n657604
v1140065 v1439190
n12969670 n12969131
a1727644 a1727644
n13563746 n13518963
n5331171 n5327767
n1137455 n1135952
n10750788 n9943541
a1595440 a1595440
n12054902 n11556857
n11970429 n11567411
v213712 v327362
n8274826 n8189659
a2507209 a2507209
n13811900 n13811410
n7095895 n7092158
r75269 r75269
v2333225 v2327200
n4321534 n3076708
n1499261 n1432517
n2147173 n1886756
n204022 n203342
a1811352 a1811352
n7589967 n7588947
n170172 n59552
n6282383 n33020
n7129758 n7109847
n9573682 n9573682
n10416732 n10412055
n737705 n844254
a109133 a109133
v2490090 v2434976
n11510223 n11452218
n8249854 n8246613
n12857024 n11567411
n14296579 n14285662
n7918454 n7885223
n2862770 n2773037
v2308275 v2306462
n639267 n636921
a71427 a71427
n8019523 n8019523
n7884567 n7881800
n5668359 n5667196
n5233100 n5225602
n14972582 n14607521
a2473371 a2473371
v1252730 v1534147
n8886147 n8886147
n9534058 n9534058
n14066203 n14061805
n3982895 n3982895
a1390215 a1390215
n434396 n36762
n12186839 n12186839
n11064106 n11064106
n3943266 n4460130
a2052757 a2052757
n4678712 n4677952
n13176000 n11545524
n3786313 n3679712
n3522634 n3323703
n12896615 n13103136
a1561771 a1561771
n10152528 n10614812
n953410 n952963
v1443490 v1552519
n14526954 n14530061
v1516965 v1517662
n6341249 n6339416
a2678218 a2678218
n1490885 n1432517
n4262678 n4063868
n664285 n657604
n12980080 n12992868
n7859583 n7809096
n10902051 n10902051
n4223066 n2686568
n869583 n868910
n4551833 n3094503
n14321653 n5823932
v2754276 v2727883
n5850212 n5850212
n10750911 n10469346
n7609215 n7596684
a569304 a569304
n3595614 n3419014
n9113022 n9113022
n6874930 n6873571
n6257372 n14974264
n11681692 n11675842
n15149351 n15144371
a364479 a364479
n13406852 n13403331
n6355894 n6355894
a2257601 a2257601
n2029914 n1507175
n13786413 n13783581
a462909 a462909
n243662 n235435
n3497100 n2913152
a1379844 a1379844
n10318293 n10791221
n7384614 n7387509
n7600895 n7596684
n8793914 n8793914
n10568608 n9815790
n3918297 n14778436
n4512216 n4512216
n5825245 n5823932
a2316524 a2316524
n1451295 n1450661
a2448324 a2448324
n6967185 n6904171
v977336 v977336
n4894444 n4663319
r89883 r89883
n5727220 n5726345
n10382825 n10340312
a628201 a628201
n4639113 n4623612
a1365239 a1365239
r182316 r182316
n11221495 n11221495
n1578180 n1576695
n10711370 n9928451
n894552 n894552
n507425 n430140
n9382990 n9382990
a46471 a46471
n13019643 n12997654
n6801965 n6799897
n7648814 n13760316
n11451310 n11452218
v213794 v1664172
v2768874 v2763740
n6473041 n6289250
n15101361 n14875077
n7943480 n7942152
v2201855 v2200686
v2729260 v2604760
n4821451 n4819026
n13943740 n13920835
n1603600 n1525720
n3752922 n2686568
n2509405 n8108972
v561266 v561266
n218602 n217014
a2487906 a2487906
n9548632 n9505418
a1536745 a1536745
n9475179 n9241247
r387254 r387254
n1999186 n1974773
n5477686 n5462674
a1859368 a1859368
a496259 a496259
n13372961 n7260623
n11490934 n11439690
a667822 a667822
n2259844 n1759182
a2086115 a2086115
v37514 v173338
n4453390 n3489162
n8479795 n7975026
n2304036 n2301452
a942380 a942380
n4237654 n3338648
v1620854 v1619929
n14032868 n14408086
n9862479 n10060175
n3351151 n3532342
n9778537 n9631463
a3115436 a3115436
n11039188 n11039188
n5272745 n5267345
n2969634 n3323703
n3727946 n4285146
n2705944 n3278248
n6414727 n6410904
v1056214 v2172888
n2172182 n2164464
v188252 v187526
a2860564 a2860564
n12534453 n11567411
n6198505 n6196584
n48828 n48225
n1030642 n410247
v404401 v1463963
n7727741 n7705711
a2737183 a2737183
n3003548 n3302121
n7345066 n7345593
n1662060 n1661091
n9489790 n9489790
n8813156 n8813156
n14801146 n14799601
n9837459 n10340312
n7502387 n7501545
a2546854 a2546854
n13274487 n13274092
n3497182 n14778436
n6644658 n6643408
n2245239 n1762525
n8524021 n8523483
n10554024 n9616922
n12509476 n12509476
n532441 n426928
n14815728 n14778436
a1076024 a1076024
n15042542 n14818238
v1859586 v1859586
n8465118 n8464601
n6703420 n6702458
n2015357 n2000954
n6605046 n7151380
r446118 r446118
n11078774 n11078774
n13884930 n13883885
a2532200 a2532200
v2117955 v2117955
n7154760 n7151380
n6630017 n6628861
n8142972 n8337324
n3267256 n3804744
n13904164 n13904164
n3292210 n2681518
n12088327 n13100677
n10989610 n10989610
n10127555 n9617867
n5864884 n13729428
n7541923 n7541923
n3811847 n3294048
n2318687 n1905661
a1693585 a1693585
n1260556 n1260556
n2343633 n8108972
n12147226 n12101870
a712004 a712004
r157304 r157304
n8925830 n8925830
n1162062 n1160342
n2270200 n2159955
n10593618 n9632518
n9009174 n9009174
n7056265 n7020895
n7516997 n7480068
v1120900 v1120069
n6546157 n6479665
n2730930 n4015204
n12436090 n13134302
n11392539 n11392539
n2113712 n2083346
n1519873 n1503061
n5791764 n5790242
n4178897 n3315023
n10784281 n10740868
n3174991 n3096593
n4139291 n3361945
n14355060 n5823932
n8538584 n8537837
a956976 a956976
n1176757 n958896
n10843228 n10843228
n9500625 n9500625
n7418497 n7416714
n13249599 n13250048
a1463326 a1463326
n10259348 n9943239
n12994711 n13087625
n13845239 n31921
a726612 a726612
v629889 v705227
n3884778 n4407435
a1208492 a1208492
a692762 a692762
n9186064 n9186064
n2955065 n4014297
n5982024 n5980875
v247048 v247390
n13918816 n13867492
n14658855 n14625458
n14683859 n14662574
n5996646 n5999266
n3870105 n2958343
r16950 r16950
n4737568 n4735929
n3845190 n4194289
a423269 a423269
v1654271 v1619354
n8754388 n8754388
n73713 n70965
n11367581 n11367581
r485620 r485620
n5957078 n5923696
n3390673 n2801938
n3424204 n3278248
n2284884 n2284884
a2762081 a2762081
n6487610 n6637824
n12231192 n12231192
v1286038 v1285440
n605909 n582388
r255741 r255741
n13347947 n13329641
n3003633 n3309808
v1129337 v1129337
n2921592 n3733925
n14125159 n13526110
v1943338 v1940403
v62582 v1532589
n14453414 n13920835
v1384638 v1384439
n2896074 n3839993
n5081957 n5079866
n3208938 n2889425
v2695378 v918872
v1693881 v1693881
n11886537 n12205694
v286605 v286605
n7786164 n7555863
n9441875 n9225146
n4091097 n4091097
n3463832 n8674739
n3233905 n3094503
n2054966 n1507175
n2666196 n2938886
n2980036 n3700963
a1752553 a1752553
n13308336 n13306870
n12270741 n12270741
a653190 a653190
a1668567 a1668567
n9969218 n9807754
r41954 r41954
n4953380 n4635104
v1884577 v1884577
n3438863 n2974697
n5149325 n5149325
v345652 v2608347
v640262 v637259
n1367430 n7992450
v2019431 v2050132
n5752179 n5748054
n2837702 n3597469
n7213232 n7212190
n2475478 n2472293
n13615036 n13615036
n4369485 n2773037
n4394421 n3294048
n14742601 n14607521
n13629676 n13629676
n15272791 n15269513
n10500506 n10499857
n796197 n795720
n1735439 n1735189
n11162582 n11162582
a1149494 a1149494
v1957995 v1957529
n14644249 n14625458
n12304572 n12304572
n14585223 n14818238
n4032710 n14662574
n6860323 n6359877
v1589869 v1296462
n14840755 n14840755
n10882846 n10882846
n9921291 n9620794
n1544877 n1507175
a1963294 a1963294
n6512857 n6513366
v2347905 v2347905
n2607862 n2607862
n2113799 n2083346
n6908700 n6904171
n3149951 n3149951
n13640050 n13602526
a173764 a173764
a799716 a799716
n13713408 n13582013
a2027704 a2027704
v1193932 v1193721
a2243086 a2243086
v1727684 v2179518
v2563616 v2563327
n5693383 n5686481
n6389230 n5128519
n400995 n400645
n1530256 n1507175
n9416890 n9257949
n4585128 n3122748
n3859717 n8673395
n12739801 n12739801
v2490004 v2490004
n4967974 n4959672
n13977184 n13972797
n3845107 n4326084
n967993 n952963
n14717634 n14586258
a2400471 a2400471
v1095739 v1095218
n13479889 n13440063
n9960891 n9960891
a2013197 a2013197
n2088364 n2087122
a2198891 a2198891
n2186717 n2159955
n14091126 n14052403
n8622586 n8622586
n14007864 n14000403
r196999 r196999
n1892385 n1889074
n13201566 n11545524
n12955191 n8108972
n2764398 n2728763
n8998853 n8998853
n1103788 n1094725
n7575392 n7573696
n14947558 n14959644
v1502279 v1494310
n448958 n523513
n8984223 n8984223
n15208162 n28270
a2992453 a2992453
n3629401 n3574816
n8333639 n8333639
n13465264 n15290337
n10029429 n10351874
n7634141 n7628870
n14512270 n14034177
n9730533 n9686536
a207547 a207547
n9343422 n9343422
n6835315 n6817623
n8260220 n8256968
n111839 n788632
n2691156 n2686568
n14619225 n14619225
n6223922 n6186301
n8406825 n8054721
a3081485 a3081485
n1951107 n8108972
a2282651 a2282651
n9073697 n9073697
n10357907 n9619824
v1213146 v1213146
v331082 v331082
n13654674 n13603305
n1965747 n7992450
a1017738 a1017738
a858558 a858558
n14599806 n15010703
n10857849 n10857849
n9127701 n9127701
n7752782 n7752377
n4526800 n3895585
n13563647 n13489037
v379023 v1564144
a1042703 a1042703
n1078572 n1073995
n2823124 n3277771
r328992 r328992
n11945367 n13085113
a1331878 a1331878
a2967485 a2967485
n10298912 n10546633
n14888720 n14728724
n4869569 n4826235
r353916 r353916
n7311661 n7311661
n2837789 n4371563
n6380879 n6364329
v2249741 v2249741
n11269367 n11269367
v870577 v872886
r280730 r280730
n11030855 n11030855
n992995 n633864
n2377063 n1321579
n3399047 n4359589
n11499284 n11452218
n8490199 n8490199
n5839910 n5838765
n4130907 n4192858
v1081152 v1079480
r412708 r412708
a3140494 a3140494
n11715207 n11567411
n9284433 n9284433
n8959254 n8959254
n3160309 n3160309
n11617090 n11608250
n14972681 n14728724
n4066023 n3297735
a1365103 a1365103
n7095775 n7092158
a594413 a594413
v1418389 v1894320
n7286278 n7285403
a1938322 a1938322
n11740208 n11567411
a2678371 a2678371
n639398 n636921
n11030679 n11030679
a71559 a71559
n1637112 n1627424
v2308389 v699815
n9573561 n9573561
a569468 a569468
v1022740 v1022420
n7845087 n7844604
n8274718 n8274718
n10127689 n10560637
v2636921 v930368
a3017025 a3017025
v1482958 v1587062
a2776813 a2776813
a148852 a148852
a3042005 a3042005
n3062015 n4596852
n9000665 n9000665
n6801865 n6799897
n6585816 n6355894
a2546713 a2546713
a2869097 a2869097
n664388 n657604
n11729860 n13100677
n12377494 n13104059
a109261 a109261
n5438130 n8459252
n6355705 n6353934
n4369618 n4369618
n5247621 n5267345
r314384 r314384
n15208333 n15208333
v1154382 v1072949
a46558 a46558
n2147034 n8108972
n7918309 n7881800
v2333358 v2327200
n10113072 n10314952
r75161 r75161
n8886037 n8886037
n6052165 n6043075
r157210 r157210
n15022389 n14728724
n6380726 n6364329
n12172364 n13139055
n7384741 n7371293
n6341127 n6339416
v1541803 v2069551
n4678804 n4677952
a207706 a207706
n9343266 n9465459
a2316626 a2316626
n928371 n927261
v1252875 v1534147
a2257731 a2257731
n5379247 n5246511
n869467 n868910
v2754158 v2604760
n7081177 n7069948
n13688033 n13604718
v1811441 v1811441
v1457954 v1457954
n3595737 n3282591
n15149472 n15204983
n9671808 n9644820
n3957991 n3489162
n7943300 n7942152
n12798041 n11567411
n10382710 n10351874
n5140793 n5139561
n7648717 n13760316
n6619751 n6253690
r412889 r412889
n4796086 n4794751
n1676755 n1676755
v1516865 v1516534
n3135532 n4341686
n5620294 n5617606
n11221389 n11221389
a3056693 a3056693
n507539 n430140
n10941515 n10941515
n10711483 n9769636
a100881 a100881
n434231 n36762
n14874196 n14619225
v154966 v153263
n14610703 n15010703
a1160031 a1160031
a2218179 a2218179
n3076623 n4379243
n11260945 n11260945
n448872 n523513
n12823531 n11567411
n6874837 n6874019
n8249752 n8246613
n14933086 n14931879
n11681554 n11675842
n7129602 n7109847
n10318193 n10129825
v7328 v1740
n159899 n42311
n12921868 n12917901
r216100 r216100
n4737743 n4733640
a628354 a628354
n11137506 n11137506
n5609884 n13860793
n4492856 n14778436
n2343772 n2343772
a712186 a712186
n4467899 n4213626
n11945514 n13085113
n11451442 n7939382
n9837360 n9812338
n13904011 n13903079
v2431834 v2431320
n14644063 n14625458
n5404728 n5397468
n3556173 n2815950
n7345166 n7345593
n14369744 n5823932
n11788223 n11556857
r41758 r41758
n3326073 n3033362
n6933689 n6904171
n9489697 n5625465
n8538730 n8537837
n12461109 n13134302
a437852 a437852
n3351036 n8578706
n4237773 n3931044
n5149127 n5148699
n10857697 n10857697
n4992834 n4992163
n9475044 n9369169
n2054834 n7992450
n6257484 n14974264
n4223170 n4317420
a496170 a496170
n7056113 n7020895
a667936 a667936
n630960 n621627
n5957238 n5923696
n2896294 n3419014
v188375 v187526
v418921 v233335
r89723 r89723
a1791911 a1791911
n1999048 n1762525
n7727868 n7705711
n7370125 n7370125
n8768881 n8768881
n9862345 n9622049
n3727837 n3122748
n15042654 n14959644
n204199 n203342
v1056102 v2135048
n2259987 n2246011
v536143 v126264
a1963378 a1963378
n3581125 n8664443
n7154666 n7151380
n8852685 n8852685
n11754893 n13112664
n8479894 n7975026
n10568754 n10351874
n4723107 n4721058
v2044596 v2044596
n12088495 n13100677
n3267113 n2778669
n4453298 n14818238
n12475774 n12205694
a1463414 a1463414
n218753 n217014
r289088 r289088
n10554141 n10791221
n9778676 n9623038
n10593745 n10351874
n10441694 n9605289
n8950907 n8950907
n2969527 n3489162
n9152769 n9152769
n532567 n426928
n145218 n145218
v2117840 v2106506
a1811277 a1811277
n10152616 n10152616
v688261 v688377
n3713254 n2726305
v2260085 v2260085
a1076145 a1076145
n10402086 n10402086
a2159453 a2159453
n184802 n161243
n7115021 n6284225
a2933954 a2933954
n10627557 n10605985
n6546261 n6479665
n8524130 n8523483
n8827689 n8827689
v2768702 v311559
n13142907 n13142907
n11078650 n11078650
r505010 r505010
n1005579 n996969
n9607208 n10474950
n15036916 n20090
a2605416 a2605416
a1850862 a1850862
n7957986 n7956887
n7502241 n7501545
n2318798 n8108972
n2015221 n1507175
n14815867 n14966667
a1390130 a1390130
a2532114 a2532114
n4139395 n4105893
a2821071 a2821071
n8925957 n8925957
v306017 v306017
n6860177 n6865345
n12750076 n13100677
v247234 v247390
a1522214 a1522214
n13274597 n13274092
n13786595 n13783581
n6703522 n6702458
n3654576 n3050026
n13044541 n7992450
n8078020 n8189659
n7870069 n7557434
n13431722 n13433727
n2270326 n1759182
n11235926 n11235926
n10652511 n10450303
v747135 v748282
a3129915 a3129915
n10652605 n9624980
a2111486 a2111486
a1233347 a1233347
a3154986 a3154986
n48656 n48225
n5370918 n5246511
n1735577 n1735189
n14380140 n14373582
a1536911 a1536911
n4953296 n4951373
n8103457 n7992450
n10093908 n10351281
n11328085 n11328085
n7516905 n7480068
n13019496 n12997654
a2630402 a2630402
r485765 r485765
a1884176 a1884176
n12509665 n12509476
n10882706 n10882706
n14428655 n14429985
v477382 v477382
n10489564 n10595647
r471122 r471122
v1589723 v1296462
n7634048 n7628870
n9705671 n9634494
v1286151 v1340439
n15076011 n14586258
v575720 v575720
n14888884 n14728724
n1162257 n1163047
n10500419 n10499857
a726723 a726723
n12245695 n13112664
n14585392 n11675842
v1081001 v1079480
n12304420 n12304420
a1727439 a1727439
n7252967 n6686736
n2548990 n1429349
n2040266 n2000954
n12534625 n13118707
a981818 a981818
v345508 v345508
v2044503 v2044278
n3438952 n3111899
a1003277 a1003277
n821518 n955060
n5752020 n5748054
a2835654 a2835654
n13308432 n13306870
n2534352 n1429349
n3884639 n4490091
n3424325 n4014297
a1208352 a1208352
n11353078 n11353078
n9259500 n9385911
n4762633 n4723816
n7443539 n7359599
n13654777 n13603305
n2573918 n1429349
v286798 v286605
n2739427 n2784218
a3140338 a3140338
n1990627 n8106934
v1918304 v1904930
n5561507 n5561507
n15272887 n15269513
n13333420 n13285176
n4032603 n2914991
n14849215 n14586258
n5306390 n5267345
v2019574 v2050132
n2666079 n3863923
n5634910 n5616246
n5791602 n5790944
n9935793 n10722965
n14801271 n14799601
v1575146 v1575146
n3208815 n13541167
n5115804 n5107765
v2176268 v2176268
n4428382 n2735688
n2113624 n2083346
a2414908 a2414908
a1272920 a1272920
n8563627 n8563627
n1392380 n1326291
n8754238 n8754238
n14198019 n14051917
v2479701 v2479990
n3003730 n3285912
n5345978 n5246511
n14139661 n14138691
a2992363 a2992363
n5272545 n5267345
v640385 v637259
n4007664 n3183080
v2201644 v2200686
n14453554 n13920835
n5188801 n5177285
v918872 v918872
n3365592 n4362025
n2304229 n1762525
n1808989 n1507175
n5766698 n5793000
a1247975 a1247975
n7713267 n7705711
a437744 a437744
n4967882 n4959672
n10211463 n9609232
r255614 r255614
n9921168 n10557854
n13249699 n13250048
n8729283 n8729283
a2389520 a2389520
n9607280 n9607280
n10068928 n9605289
n2994573 n4451818
n12231031 n11567411
n14394783 n14416845
n13918717 n13883885
a653295 a653295
n9441725 n9441725
n13859925 n13859043
n6389109 n6365467
n409211 n409211
n13713521 n13608319
n3859608 n3848729
n8044676 n8044676
n1451115 n1450661
n8235173 n8053576
v1502122 v1502122
n1426160 n8108972
n12015525 n12205694
n5017458 n5009170
v1311608 v449692
v1982866 v1974062
n14091254 n14052403
a2013083 a2013083
a1174565 a1174565
